#,DESIGNATION,COUNTRY,STARS,DURATION,AGE,REVIEW,GIG,SCREENSHOTS,,Country,Count,Count,Gig,Count
14,Co-Founder,India,5,4 days,1 year ago,"Excellent service! Icommunetech truly exceeded my expectations with their logistics management software. The functionality and attention to detail were top-notch, and it was completely bug-free. Working with them was a pleasure; their deep understanding, language fluency, and timely delivery made the process seamless. Highly recommend this gig for anyone in need of professional logistics solutions! 👏",Full Stack Web Applications,047_manoj15295_India_5-Stars.jpg,,Benin,2,2,,
,,,,,,,,,,Kenya,2,2,,
15,Director and Business Growth Coordinator,Australia,5,7 days,3 months ago,"Phase 1 of many to come. Very happy with their way of continual contact, keeping me informed and ensuring each step is refined towards my goals.",N/A,009_tyler_bizgrow_Australia_5-Stars.jpg,,Jamaica,1,2,,
16,Director,United Kingdom,5,1 day,8 months ago,"Nazim is very knowledgeable, helpful and meets deadlines. I highly recommend him.",API & Integrations,014_edwardrae_United_Kingdom_5-Stars.jpg,,Senegal,1,2,,
17,Managing Partner,United States,5,3 weeks,1 year ago,Great to work with!,API & Integrations,021_brandonrayzor_United_States_5-Stars.jpg,,Cayman Islands,1,2,,
18,VP at ReMar Review,United States,5,1 day,1 year ago,excellent job! highly recommnend,N/A,022_brandonross826_United_States_5-Stars.jpg,,Spain,1,2,,
19,Director,United Kingdom,5,1 day,3 months ago,"Great work, as always. Thank you!",AI Websites & Software,007_sptravel2024_United_Kingdom_5-Stars.jpg,,Morocco,1,2,,
20,Director,United Kingdom,5,1 day,3 months ago,"Worked with Icommunetech for several years now and always impressed with their work, they are my go to for all my projects and on hand to help whenever I need.  I highly recommend!",API & Integrations,010_sptravel2024_United_Kingdom_5-Stars.jpg,,Lithuania,1,1,,
21,Director,United Kingdom,5,2 days,1 year ago,"Great work as always, highly recommend!",API & Integrations,018_sptravel2024_United_Kingdom_5-Stars.jpg,,Austria,1,1,,
22,Director,United Kingdom,5,1 day,1 year ago,Great work as always. Highly recommend!,API & Integrations,019_sptravel2024_United_Kingdom_5-Stars.jpg,,Unknown,1,1,,
23,Director,United Kingdom,5,1 day,1 year ago,"I’ve worked with Icommunetech for almost a year, and they’ve been my go-to for everything website-related. They’re fast, reliable, and consistently deliver high-quality work. I highly recommend them.",API & Integrations,024_sptravel2024_United_Kingdom_5-Stars.jpg,,Algeria,1,1,,
24,Director,United Kingdom,5,3 days,1 year ago,"Great work as always, I use Icommunetech for everything to do with my website and they never let me down!",API & Integrations,025_sptravel2024_United_Kingdom_5-Stars.jpg,,United Arab Emirates,1,1,,
25,Director,United Kingdom,5,2 days,1 year ago,Thanks for the continued great work!,API & Integrations,028_sptravel2024_United_Kingdom_5-Stars.jpg,,Hungary,1,1,,
26,Director,United Kingdom,5,2 days,1 year ago,"Icommunetech truly impressed with their incredible professionalism and expert coding skills. Their proactive communication and quick responsiveness made the process seamless, consistently going above and beyond expectations. Highly recommend working with them again! 👌",API & Integrations,030_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
27,Director,United Kingdom,5,2 days,1 year ago,"My go to company, great work! Thank you",N/A,032_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
28,Director,United Kingdom,5,2 days,1 year ago,"ICommuneTech delivered outstanding work with professionalism. Their expertise, responsiveness, and commitment to excellence made a significant impact. Highly recommended!",API & Integrations,033_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
29,Director,United Kingdom,5,6 days,1 year ago,Great work! Thank you,API & Integrations,034_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
30,Director,United Kingdom,5,2 days,1 year ago,"Continues to provide excellent work, thank you!",API & Integrations,035_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
31,Director,United Kingdom,5,5 days,1 year ago,"Great work again, thank you!",API & Integrations,036_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
32,Director,United Kingdom,5,3 days,1 year ago,Amazing work! Highly recommend and have used for many jobs since last year!,N/A,037_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
33,Director,United Kingdom,5,2 days,1 year ago,"Amazing work, thank you!",API & Integrations,041_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
34,Director,United Kingdom,5,3 days,1 year ago,Working with Icommunetech was a fantastic experience. They exceeded expectations with their attention to detail and code expertise. Fast delivery and quick responsiveness made the entire process smooth. Highly recommended! 👏,API & Integrations,042_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
35,Director,United Kingdom,5,3 weeks,1 year ago,"I've worked with several developers since starting my website, and Nazim from Icommunetech is by far the BEST. The professionalism, exceptional code expertise, and ability to EXCEED expectations made the experience outstanding. Nazim's politeness, timely delivery, and going above and beyond truly set him apart. Highly recommend and will use for all future projects without a doubt! 👍",API & Integrations,044_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
36,Director,United Kingdom,5,6 days,2 years ago,"Great work on fixing my website, thank you.",API & Integrations,046_sptravel2024_United_Kingdom_5-Stars.jpg,,,,1,,
,,,,,,,,,,,,1,,
37,,Spain,5,1 day,7 months ago,a pleasure to work with for web development and troubleshooting,API & Integrations,012_rriad1_Spain_5-Stars.jpg,,,,1,,
38,,Morocco,5,13 days,1 year ago,Very good experience ! highly recommended,API & Integrations,023_mybridge_Morocco_5-Stars.jpg,,,,1,,
39,,Australia,5,1 day,1 year ago,Great work,API & Integrations,027_ssousamlis_Australia_5-Stars.jpg,,,,1,,
40,,Netherlands,5,1 day,1 year ago,"Very great guy, understands what he's doing and continues untill you're satisfied. Will be back",Backup & Migration,038_thegamingdon__Netherlands_5-Stars.jpg,,,,1,,
41,,United States,5,1 day,1 year ago,"Icommunetech did an OUTSTANDING job! Their professionalism, code expertise, and ability to exceed expectations were truly impressive, and they went above and beyond to deliver on time with clear communication. 🙌 Highly recommend working with them!",API & Integrations,039_progress_al_United_States_5-Stars.jpg,,,,1,,
42,,United States,5,2 weeks,1 year ago,"Icommunetech delivered great work. I was very pleased and will continue to work with this developer. He pointed out some flaws with our project, which were greatly considered for improvement. Great language fluency and cooperation. Highly recommended! 🙌",N/A,040_progress_al_United_States_5-Stars.jpg,,,,1,,
43,,United States,5,2 days,1 year ago,"Icommunetech delivered outstanding, bug-free code with professional expertise and quick responsiveness. Their proactive communication and high level of cooperation made working together a breeze. This guy is VERY GOOD at what he does! 👍",Browser Extensions,043_wsvwilliam_United_States_5-Stars.jpg,,,,1,,
44,,United States,5,6 days,1 year ago,He is very friendly and knowledgeable about technology.,Full Stack Web Applications,045_net122_United_States_5-Stars.jpg,,,,1,,
45,,Lithuania,5,2 days,2 years ago,"I have worked with many freelancers using different platform, Mohsin is one of the best highly recommended",API & Integrations,048_youssef_obeid_Lithuania_5-Stars.jpg,,,,1,,
46,,India,5,9 days,2 years ago,"He has domain knowledge, multiple checks were done and he was patient enough to listen and implement.",API & Integrations,049_prasenjitp04_India_5-Stars.jpg,,,,1,,
47,Co-Founder,India,5,3 days,2 years ago,"Really happy with the work   thanks, Icommune for quick delivery of my API integration work",API & Integrations,050_manoj15295_India_5-Stars.jpg,,,,1,,
48,,Saudi Arabia,5,N/A,3 years ago,The best ever in fiverr I realy recommended him  Thank you icommune so much,N/A,051_mish125_Saudi_Arabia_5-Stars.jpg,,,,1,,
49,,Saudi Arabia,5,N/A,4 years ago,great work nice person :),API & Integrations,052_salehalshehr237_Saudi_Arabia_5-Stars.jpg,,,,1,,
50,,India,5,N/A,4 years ago,"Very happy to work him, he is nice guy",API & Integrations,053_magemom_India_5-Stars.jpg,,,,1,,
51,,Germany,5,N/A,5 years ago,"Good communication, fast work. Thank you!",N/A,054_kevschra_Germany_5-Stars.jpg,,,,1,,
52,,United States,5,N/A,10 years ago,GREAT FAST SERVICE,N/A,055_findfreight_United_States_5-Stars.jpg,,,,1,,
53,,Brazil,5,N/A,10 years ago,Very Good. Fast,N/A,056_terragran_Brazil_5-Stars.jpg,,,,1,,
54,,Israel,5,N/A,11 years ago,Outstanding Experience!,N/A,057_gazerad_Israel_5-Stars.jpg,,,,1,,
55,,Israel,5,N/A,11 years ago,Outstanding Experience!,N/A,058_gazerad_Israel_5-Stars.jpg,,,,1,,
56,,Germany,4,N/A,11 years ago,Good Experience!,AI Websites & Software,059_aladdindev_Germany_4-Stars.jpg,,,,,,
57,,United States,5,N/A,8 years ago,Great experience ! Thanks,Backup & Migration,060_s_n5040_United_States_5-Stars.jpg,,,,,,
58,,Netherlands,5,N/A,8 years ago,Perfect communication and fast delivery! Thank you very much. Will come back,Backup & Migration,061_robmeursinge_Netherlands_5-Stars.jpg,,,,,,
59,,United States,5,N/A,8 years ago,I had a great experience with icommune. They are easy to work with and can communicate well. I will definitely use their services in the future. Thanks for you help!!,Backup & Migration,062_maltardesigns_United_States_5-Stars.jpg,,,,,,
60,,India,5,N/A,8 years ago,Good work. Will use him again,N/A,063_nestackai_India_5-Stars.jpg,,,,,,
61,,United Kingdom,5,N/A,8 years ago,Too good! Keep coming back to him!,Backup & Migration,064_fahadii_United_Kingdom_5-Stars.jpg,,,,,,
62,,United Kingdom,5,N/A,8 years ago,Love to work with him with little features for my platform!,Backup & Migration,065_fahadii_United_Kingdom_5-Stars.jpg,,,,,,
63,,United Kingdom,5,N/A,8 years ago,Great work as always!,Backup & Migration,066_fahadii_United_Kingdom_5-Stars.jpg,,,,,,
64,,Pakistan,5,N/A,8 years ago,"We've found ourself a great developer! Easy to work with & understands the task quickly!  Go to guy for php, cakephp work!",Backup & Migration,067_saadee_Pakistan_5-Stars.jpg,,,,,,
65,,India,5,N/A,8 years ago,"Good work, we will try him again.",Backup & Migration,068_nestackai_India_5-Stars.jpg,,,,,,
66,,Saudi Arabia,5,N/A,8 years ago,Gooooooooood,API & Integrations,069_mahmoud_88_Saudi_Arabia_5-Stars.jpg,,,,,,
67,,United States,5,N/A,8 years ago,He is a great person to work with!,Backup & Migration,070_user32173577_United_States_5-Stars.jpg,,,,,,
68,,United States,5,N/A,8 years ago,"Awesome, thank you!",Backup & Migration,071_user32173577_United_States_5-Stars.jpg,,,,,,
69,,Brazil,5,N/A,8 years ago,"Excellent, fast and just price. I recommend! I'll do other jobs for sure.",N/A,072_terragran_Brazil_5-Stars.jpg,,,,,,
70,,Pakistan,5,N/A,8 years ago,Good quick work! Will be buying again soon :),Backup & Migration,073_saadee_Pakistan_5-Stars.jpg,,,,,,
71,,Austria,5,N/A,8 years ago,"I like him because,he understand what i want instantly and he did a perfect work for me..thanks alot",N/A,075_krazytinkas_Austria_5-Stars.jpg,,,,,,
72,,France,5,N/A,9 years ago,Very good job. I recommend ICommune,N/A,076_jeelig_France_5-Stars.jpg,,,,,,
73,,Brazil,5,N/A,9 years ago,"Fast, very good! Recommend.",Full Stack Web Applications,077_terragran_Brazil_5-Stars.jpg,,,,,,
74,,Canada,5,N/A,10 years ago,"Please working with you! You were a genius when it came to troubleshooting the issue and I will DEFINITELY use you again very shortly for another project. Thank you, thank you!",Backup & Migration,080_courtneyflaska_Canada_5-Stars.jpg,,,,,,
75,,Greece,5,N/A,10 years ago,great communication and fast delivery. Highly recommended,API & Integrations,081_rogeroffer_Greece_5-Stars.jpg,,,,,,
76,,Greece,5,N/A,10 years ago,Fast delivery. Highly recommended. Just ordered a new gig from them. Professional support,API & Integrations,082_rogeroffer_Greece_5-Stars.jpg,,,,,,
77,,India,5,N/A,10 years ago,good.,API & Integrations,083_swathibudati_India_5-Stars.jpg,,,,,,
78,,United Kingdom,5,N/A,10 years ago,"top work as always, many thanks!",API & Integrations,084_mot393_United_Kingdom_5-Stars.jpg,,,,,,
79,,United Kingdom,5,N/A,10 years ago,"top work as always, many thanks!",API & Integrations,085_mot393_United_Kingdom_5-Stars.jpg,,,,,,
80,,United Kingdom,5,N/A,10 years ago,top work many thanks,N/A,086_mot393_United_Kingdom_5-Stars.jpg,,,,,,
81,,United Kingdom,5,N/A,10 years ago,"Fantastic work as always, very helpful and kind seller will use again!",API & Integrations,087_mot393_United_Kingdom_5-Stars.jpg,,,,,,
82,,United Kingdom,5,N/A,10 years ago,Very helpful seller! thank you,N/A,088_mot393_United_Kingdom_5-Stars.jpg,,,,,,
83,,United Kingdom,5,N/A,10 years ago,"Top work, thank you very much!",N/A,089_mot393_United_Kingdom_5-Stars.jpg,,,,,,
84,,United Kingdom,5,N/A,11 years ago,"Perfect thank you, great work as always.",API & Integrations,090_mot393_United_Kingdom_5-Stars.jpg,,,,,,
85,,United Kingdom,5,N/A,11 years ago,"Many thanks, top seller!",N/A,091_mot393_United_Kingdom_5-Stars.jpg,,,,,,
86,,Benin,5,N/A,11 years ago,Outstanding Experience!,API & Integrations,092_user83868618_Benin_5-Stars.jpg,,,,,,
87,,Benin,5,N/A,11 years ago,Nice job done..just what i want and delivered right on time.. Will surely do more projects with you.,API & Integrations,093_user83868618_Benin_5-Stars.jpg,,,,,,
88,,United Kingdom,5,N/A,11 years ago,"Brilliant work again, very highly recommended seller! Thanks for your help :)",API & Integrations,094_mot393_United_Kingdom_5-Stars.jpg,,,,,,
89,,France,3.3,N/A,11 years ago,Job done in time. Communication quite good,N/A,095_jeelig_France_3_3-Stars.jpg,,,,,,
90,,Unknown,5,N/A,11 years ago,"Great experienced developers.  Dedicated towards their tasks.  I must recommend to use their service.    Thanks,",API & Integrations,096_backlink_kings_Unknown_5-Stars.jpg,,,,,,
91,,France,5,N/A,11 years ago,Commits to the task and performs exceptionally. Top gig.,N/A,099_edachado_France_5-Stars.jpg,,,,,,
92,,United States,5,N/A,12 years ago,Great job! Highly Recommended,N/A,100_monstermagicmag_United_States_5-Stars.jpg,,,,,,
93,,Kenya,5,N/A,12 years ago,Awesome stuff. Thanks,Backup & Migration,101_fineaffiliate_Kenya_5-Stars.jpg,,,,,,
94,,Kenya,5,N/A,12 years ago,Awesome  seller with very quick turn around time. I recommend this seller. Thanks,N/A,102_fineaffiliate_Kenya_5-Stars.jpg,,,,,,
95,,United States,5,N/A,12 years ago,Very professional at what they do! Highly Recommended!!,N/A,103_monstermagicmag_United_States_5-Stars.jpg,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
96,,United Kingdom,5,4 days,1 year ago,"Excellent seller, will come again. Thank you pal for everything. Definitely come back again :)",API & Integrations,026_adamkhalid139_United_Kingdom_5-Stars.jpg,,,,1,,
97,,Algeria,5,1 day,1 year ago,"Very fast to respond, and very fast to deliver products.",Full Stack Web Applications,029_akrammbf_Algeria_5-Stars.jpg,,,,1,,
98,Front-end & Back-end Developer,United Arab Emirates,5,N/A,8 years ago,Easy to work with,Backup & Migration,074_cyrusjayson_dev_United_Arab_Emirates_5-Stars.jpg,,,,,,
99,,United States,3,10 days,1 month ago,the short review text,WordPress,006_marcolux96_United_States_3-Stars.jpg,,Brazil,3,2,Browser Extensions,2
100,Director,Hungary,1,N/A,9 years ago,Cancelled order. Seller failed to deliver on time!,API & Integrations,078_joelnz_Hungary_1-Stars.jpg,,,,,,
101,Director,Canada,1,N/A,10 years ago,Cancelled order. Seller failed to deliver on time!,N/A,079_courtneyflaska_Canada_1-Stars.jpg,,,,,,
102,,United States,1,N/A,11 years ago,cancelled order. seller failed to deliver on time!,N/A,097_sevans4262_United_States_1-Stars.jpg,,,,,,
103,,United Kingdom,1,N/A,11 years ago,cancelled order. seller failed to deliver on time!,N/A,098_iamjaay_United_Kingdom_1-Stars.jpg,,,,,,
